query-71,00195127,0.875755
query-71,00167716,0.872281
query-71,00153908,0.867023
query-71,00210356,0.865428
query-71,00014892,0.864252
query-71,00071523,0.861712
query-71,00025523,0.860536
query-71,00082346,0.859127
query-71,00030853,0.85669
query-71,00009472,0.855483
query-71,00071898,0.854238
query-71,00071673,0.852945
query-71,00003125,0.852371
query-71,00170286,0.851916
query-71,00151136,0.850577
query-71,00156349,0.848826
query-71,00106866,0.84448
query-71,00082392,0.844391
query-71,00071572,0.843574
query-71,00026964,0.84357
query-71,00030879,0.843501
query-71,00069382,0.842909
query-71,00111115,0.842583
query-71,00154014,0.842158
query-71,00069380,0.840735
query-71,00150381,0.840555
query-71,00025463,0.84051
query-71,00233451,0.840411
query-71,00072132,0.83784
query-71,00071231,0.837115
query-71,00124853,0.836961
query-71,00014901,0.836467
query-71,00183910,0.836035
query-71,00172806,0.835903
query-71,00071784,0.835864
query-71,00150473,0.835717
query-71,00233389,0.83553
query-71,00129818,0.835108
query-71,00071655,0.834206
query-71,00170276,0.834057
query-71,00033954,0.833921
query-71,00071628,0.833521
query-71,00027907,0.832583
query-71,00231979,0.831614
query-71,00099508,0.831343
query-71,00041008,0.831248
query-71,00069349,0.831178
query-71,00231677,0.830478
query-71,00169663,0.830182
query-71,00233308,0.830121
query-71,00072067,0.830099
query-71,00058064,0.829339
query-71,00062366,0.829203
query-71,00072170,0.829138
query-71,00061101,0.829086
query-71,00222968,0.829053
query-71,00097359,0.828958
query-71,00233350,0.82812
query-71,00071785,0.827863
query-71,00071601,0.82772
query-71,00071591,0.827332
query-71,00058647,0.827156
query-71,00071831,0.827129
query-71,00164416,0.827012
query-71,00122726,0.827
query-71,00170326,0.826885
query-71,00172758,0.826751
query-71,00124488,0.826741
query-71,00122643,0.826741
query-71,00153997,0.826686
query-71,00006447,0.82642
query-71,00223329,0.826057
query-71,00009726,0.825128
query-71,00055683,0.825123
query-71,00069335,0.824324
query-71,00115465,0.82432
query-71,00106970,0.824168
query-71,00069381,0.824022
query-71,00153806,0.823973
query-71,00164303,0.823871
query-71,00063722,0.822891
query-71,00167708,0.822763
query-71,00040698,0.822485
query-71,00242497,0.822453
query-71,00150474,0.822429
query-71,00071592,0.822113
query-71,00071658,0.821753
query-71,00071216,0.821158
query-71,00106802,0.821155
query-71,00150289,0.8205
query-71,00063728,0.82015
query-71,00196215,0.820138
query-71,00018922,0.819872
query-71,00107394,0.819857
query-71,00154062,0.819774
query-71,00106887,0.819546
query-71,00150755,0.819526
query-71,00146773,0.819266
query-71,00123469,0.819109
